States,x,y
Andhra Pradesh,-90.0,-162.0
Arunachal Pradesh,274.0,117.0
Assam,239.0,78.0
Bihar,67.0,58.0
Chhattisgarh,-21.0,-26.0
Delhi,-121.0,130.0
Goa,-205.0,-154.0
Gujrat,-265.0,-1.0
Haryana,-151.0, 139.0
Himachal Pradesh,-134.0,194.0
Jammu And Kashmir,-181.0,236.0
Jharkhand,60.0,21.0
Karnataka,-173.0,-163.0
Kerala,-146.0,-254.0
Madhya Pradesh,-105.0,-1.0
Maharashtra,-165.0,-73.0
Manipur,261.0,34.0
Meghalaya,210.0,55.0
Mizoram,238.0,10.0
Nagaland,276.0,69.0
Orissa,27.0,-48.0
Punjab,-164.0,172.0
Rajasthan,-201.0,79.0
Sikkim,135.0,103.0
Tamil Nadu,-107.0,-243.0
Tripura,205.0,20.0
Telangana,-83.0,-103.0
Uttar Pradesh,-63.0,92.0
Uttarakhand, -76.0,159.0
West Bengal,103.0,2.0
